Date,marketPerf,portfolioPerf
2018-11-14,0.9855559111388157,1.0
2018-11-15,0.9958417908038747,1.0204357267153845
2018-11-16,0.998431599540277,1.0204357267153845
2018-11-19,0.9815436333126475,1.0205769059175067
2018-11-20,0.963379018052189,1.0158078922506957
2018-11-21,0.9666617503415916,1.0158078922506957
2018-11-23,0.960205706461999,1.0158078922506957
2018-11-26,0.9757076029575867,1.0158078922506957
2018-11-27,0.9789903352469895,1.0236646235220364
2018-11-28,1.001531889788978,1.0236646235220364
2018-11-29,0.9993434758047232,1.0236646235220364
2018-11-30,1.005434746915933,1.0236646235220364
2018-12-03,1.0187481181142455,1.0236646235220364
2018-12-04,0.9857382418664962,0.9986250220058039
2018-12-06,0.9842427514352418,1.0133459637260516
2018-12-07,0.9613729347956149,1.0025769580228971
2018-12-10,0.9631966873245077,1.019557945260198
2018-12-11,0.9634155287229331,1.019557945260198
2018-12-12,0.9682666614720586,1.019557945260198
2018-12-13,0.9679383993744204,1.0227596574899531
2018-12-14,0.9500656468538762,1.0130750604333025
2018-12-17,0.9314268937823326,0.9972970475620593
2018-12-18,0.9304055968186734,0.9972970475620593
2018-12-19,0.9164721007828084,0.9966960365063365
2018-12-20,0.9015538184540287,0.9859655683842177
2018-12-21,0.8779544562776365,0.9705818862649169
2018-12-24,0.8547563218838611,0.9514983352626215
2018-12-26,0.8979427684104774,1.0008075374159058
2018-12-27,0.9048366063999417,1.0234997140642341
2018-12-28,0.9036693780663254,1.0234997140642341
2018-12-31,0.9115844573629384,1.0335911054764046
2019-01-02,0.9125327886416189,1.0512392051761037
2019-01-03,0.8907572346506296,1.034214791816376
2019-01-04,0.920593799308189,1.034214791816376
2019-01-07,0.9278523544095256,1.034214791816376
2019-01-08,0.9365698336148619,1.034214791816376
2019-01-09,0.9409468842094126,1.0370042223866738
2019-01-10,0.9442661271695598,1.047606524328521
2019-01-11,0.9446308999379424,1.0533810898429397
2019-01-14,0.9388677796113499,1.0555956612904764
2019-01-15,0.9496279640570251,1.0659542667463264
2019-01-16,0.9519259100535131,1.0659542667463264
2019-01-17,0.959147898827595,1.0659542667463264
2019-01-18,0.9719141665298439,1.0659542667463264
2019-01-22,0.9587831260592125,1.0615884216350115
2019-01-23,0.9607893206288067,1.0669463932629235
2019-01-24,0.9612999134541259,1.0669463932629235
2019-01-25,0.9694338898056746,1.0669463932629235
2019-01-28,0.9620659696616355,1.0684451780833542
2019-01-29,0.9607893206288065,1.0722275189768158
2019-01-30,0.9759993543844799,1.0722275189768158
2019-01-31,0.9845710135328796,1.0722275189768158
2019-02-01,0.985045207000475,1.0722275189768158
2019-02-04,0.9919754443476632,1.0722275189768158
2019-02-05,0.9961336535437884,1.0722275189768158
2019-02-06,0.9948204938402149,1.0753518247293647
2019-02-07,0.9853370697403893,1.0721766998855675
2019-02-08,0.9865406974317293,1.0790386356348236
2019-02-11,0.9870878009277929,1.0790386356348236
2019-02-12,0.9997811586015733,1.0790386356348236
2019-02-13,1.0030273802202316,1.0790386356348236
2019-02-14,1.0008024555652324,1.0843952869943811
2019-02-15,1.011708460067844,1.0843952869943811
2019-02-19,1.0134593025682683,1.0843952869943811
2019-02-20,1.0155018964955866,1.0843952869943811
2019-02-21,1.0118909021085456,1.0860382089331668
2019-02-22,1.0181646152604573,1.0860382089331668
2019-02-25,1.0195505736794785,1.0860382089331668
2019-02-26,1.0188211394557338,1.0860382089331668
2019-02-27,1.018383456658883,1.0860382089331668
2019-02-28,1.0164866827885013,1.0860382089331668
2019-03-01,1.0228334172819018,1.0860382089331668
2019-03-04,1.0191128908826277,1.0941143386249477
2019-03-05,1.0177268211505859,1.0941143386249477
2019-03-06,1.011562528697887,1.0941143386249477
2019-03-07,1.0031004015617206,1.0892528158892842
2019-03-08,1.0010942069921263,1.0958614409768608
2019-03-11,1.0156113171947994,1.0958614409768608
2019-03-12,1.0194411529802656,1.0958614409768608
2019-03-13,1.0261890595997727,1.0958614409768608
2019-03-14,1.0255325354044962,1.0958614409768608
2019-03-15,1.0260796389005598,1.0958614409768608
2019-03-18,1.0298000539868135,1.0958614409768608
2019-03-19,1.0300554060559834,1.0958614409768608
2019-03-20,1.0269550044942617,1.0982929439831872
2019-03-21,1.0385541551759148,1.0982929439831872
2019-03-22,1.0185657873865634,1.095152540875645
2019-03-25,1.0177998424920742,1.095152540875645
2019-03-26,1.0253866040345387,1.095152540875645
2019-03-27,1.0200247671470735,1.0965120209705395
2019-03-28,1.0238911136032842,1.0965120209705395
2019-03-29,1.0303472687958974,1.0965120209705395
2019-04-01,1.042566321689062,1.0965120209705395
2019-04-02,1.0430770258274018,1.0965120209705395
2019-04-03,1.0447184476286133,1.0965120209705395
2019-04-04,1.0474904757796764,1.0965120209705395
2019-04-05,1.0525605612402478,1.0965120209705395
2019-04-08,1.0533630168054813,1.0965120209705395
2019-04-09,1.0479646692472715,1.0965120209705395
2019-04-10,1.0515392642765886,1.0965120209705395
2019-04-11,1.0512474015366742,1.0965120209705395
2019-04-12,1.058360080924564,1.0965120209705395
2019-04-15,1.057667046058543,1.0965120209705395
2019-04-16,1.0583600809245637,1.0965120209705395
2019-04-17,1.0557703835011818,1.0965120209705395
2019-04-18,1.0578493767862238,1.0965120209705395
2019-04-22,1.0587612530506703,1.0965120209705395
2019-04-23,1.068281299134261,1.0965120209705395
2019-04-24,1.0659104431093045,1.0965120209705395
2019-04-25,1.0652538076010074,1.0965120209705395
2019-04-26,1.0702144723623663,1.0965120209705395
2019-04-29,1.0718922935213018,1.0965120209705395
