Date,Buy
2018-11-15,267.010009765625
2018-11-19,268.07000732421875
2018-11-20,263.1499938964844
2018-11-27,265.6600036621094
2018-12-04,269.8999938964844
2018-12-06,262.44000244140625
2018-12-07,262.6300048828125
2018-12-10,258.6199951171875
2018-12-13,264.1199951171875
2018-12-14,259.8500061035156
2018-12-17,253.52999877929688
2018-12-19,249.35000610351562
2018-12-20,244.64999389648438
2018-12-21,239.97999572753906
2018-12-24,234.27000427246094
2018-12-26,233.75999450683594
2018-12-27,238.9600067138672
2018-12-31,247.47000122070312
2019-01-02,245.9499969482422
2019-01-03,243.6699981689453
2019-01-09,256.19000244140625
2019-01-10,255.5
2019-01-11,257.0299987792969
2019-01-14,256.4100036621094
2019-01-15,257.80999755859375
2019-01-22,261.05999755859375
2019-01-23,260.6600036621094
2019-01-28,261.7900085449219
2019-01-29,262.4800109863281
2019-02-06,271.9200134277344
2019-02-07,268.2900085449219
2019-02-08,267.8299865722656
2019-02-14,272.8699951171875
2019-02-21,276.3500061035156
2019-03-04,276.8399963378906
2019-03-07,274.07000732421875
2019-03-08,272.4200134277344
2019-03-20,280.32000732421875
2019-03-22,279.17999267578125
2019-03-27,277.92999267578125
2019-05-01,291.79998779296875
2019-05-06,288.8999938964844
2019-05-07,285.80999755859375
2019-05-09,283.29998779296875
2019-05-10,282.29998779296875
2019-05-13,279.92999267578125
2019-05-17,285.1199951171875
2019-05-20,283.1199951171875
2019-05-23,280.57000732421875
2019-05-29,276.7099914550781
2019-05-31,275.239990234375
2019-06-03,273.0899963378906
2019-06-12,287.82000732421875
2019-06-25,290.6400146484375
2019-07-05,296.010009765625
2019-07-08,296.2200012207031
2019-07-17,297.739990234375
2019-07-30,299.489990234375
2019-07-31,295.20001220703125
2019-08-01,293.9599914550781
2019-08-02,290.8999938964844
2019-08-05,281.7200012207031
2019-08-07,282.0400085449219
2019-08-09,289.6499938964844
2019-08-12,287.0199890136719
2019-08-13,287.3599853515625
2019-08-14,283.760009765625
2019-08-15,282.3900146484375
2019-08-20,289.95001220703125
2019-08-22,290.3999938964844
2019-08-23,283.4700012207031
2019-08-28,285.25
2019-09-03,289.2699890136719
2019-09-10,295.9700012207031
2019-09-18,298.239990234375
